# GroupLab range-statistic table, docs/STATISTICS.md sections 5 and 15.3. Generated by `grouplab stats range-table` with seed 20260914.
# Groups of n shots from a circular bivariate normal with sigma 1, statistics averaged over nGroups groups: ES extreme spread,
# FoM figure of merit, D bounding-box diagonal, RS Rayleigh sigma with the c4 correction. M mean, SD standard deviation, Q025 and Q975 quantiles.
n,nGroups,replications,ES_M,ES_SD,ES_Q025,ES_Q975,FoM_M,FoM_SD,FoM_Q025,FoM_Q975,D_M,D_SD,D_Q025,D_Q975,RS_M,RS_SD,RS_Q025,RS_Q975
32,1,10000000,4.842310680001476,0.6283979510215137,3.743603769274919,6.205691611768442,4.139490360334207,0.4862055767770142,3.2557342430136846,5.1592484366776,5.893233097473793,0.69660764701136,4.629630704778417,7.356571920960795,1.0000236484423346,0.08998925560164484,0.8275615272064681,1.180234405656714
33,1,10000000,4.866902063324973,0.6257758249548895,3.773478110579242,6.225925963002434,4.164828483272231,0.48405195669322004,3.2851167247941553,5.18040170412163,5.928585412039964,0.6935370085797967,4.670704506330036,7.38635178097874,1.0000096066494293,0.08854794165028529,0.8303193426531954,1.1771411293395648
34,1,10000000,4.890403858066569,0.6233073727621263,3.8016674249130893,6.244049099566799,4.189397298205082,0.4823388986548002,3.3134620814920885,5.201692555908894,5.962826410763684,0.6910413761957469,4.710583072298767,7.415997710128179,0.9999700077328844,0.08720972906926958,0.8328132375550834,1.174455621412518
35,1,10000000,4.91337099813433,0.621256011881307,3.8286590028188487,6.26240333820079,4.212890660128847,0.48066934202526523,3.3395930136226117,5.222187931295115,5.995605648442616,0.6886720406763868,4.746938171434004,7.444282020549643,0.999946582199132,0.08589757618087376,0.8352779427411313,1.1717698042236828
36,1,10000000,4.935848884290075,0.6187183012600431,3.85623623241784,6.280187731680573,4.236385450937726,0.4791833468271808,3.366270943302915,5.242407374957698,6.028354215190722,0.6864543233339933,4.78430834947295,7.4722070027113086,1.0000201398267505,0.08465185790703121,0.8376258030910223,1.1693604391631656
37,1,10000000,4.957151855836314,0.616595333105477,3.8817453609351387,6.298008992571469,4.2585910101649995,0.477557082868558,3.3916668195807844,5.261354000357923,6.059324324157757,0.6841131001372954,4.81985744778517,7.4986071041510876,0.9999800720109276,0.08347211323741863,0.8396920368927393,1.1667348641734647
38,1,10000000,4.978245715482702,0.6147019418685327,3.9065533412848024,6.31449957188888,4.28016045098254,0.4760064066188967,3.416240965108495,5.280739792409483,6.089420188698965,0.6818759811735962,4.854402852225438,7.524535576530047,0.9999860817896697,0.08233270287676753,0.8419833563742082,1.1644772122692626
39,1,10000000,4.998721420858091,0.6128202355617354,3.930654577942328,6.330863329836425,4.3014481287285,0.474625476109827,3.439924856183437,5.2984888685787705,6.119140812532337,0.6798987780741521,4.88773018436556,7.549492870721132,1.000030317989551,0.08126633503083668,0.8439766639065517,1.1624018607936166
40,1,10000000,5.018025996953858,0.6105774323141644,3.953928065623359,6.3462674698597485,4.321550429749043,0.4731516838269587,3.4628591441151477,5.315844069054086,6.147196718085915,0.6777266289719172,4.920103592286548,7.57360035704852,0.9999751627778816,0.08018879372890123,0.8459870021566176,1.1601906924032996
41,1,10000000,5.0372370256784516,0.6087818133500199,3.976643449906817,6.362423788915004,4.341516486249581,0.4717213985788243,3.4860188750651555,5.332839849550619,6.175063814310328,0.6756632272518871,4.952604338993556,7.597981679477825,1.0000462836824338,0.07919856131512039,0.8478675085463233,1.1582749665464942
42,1,10000000,5.05561458191207,0.6068429694876714,3.9992856948403324,6.376341118905533,4.3604260674031705,0.47041763477938264,3.5075626393898136,5.349460843805538,6.201452274320406,0.6737828156487545,4.9825700593179425,7.620574212632174,0.9999680240531853,0.07821578253054999,0.8497812480455668,1.1561394387725086
43,1,10000000,5.073373623039678,0.6049572934623054,4.020506642806725,6.391073155594187,4.378968026842102,0.46894078720899723,3.5284872379895442,5.364418764629348,6.227328684255393,0.6716332204091622,5.011950010580546,7.641799598464712,0.9999355269584369,0.07724323147189655,0.851490894879716,1.1540298922321446
44,1,10000000,5.091445626699165,0.6034384459484657,4.042019566662261,6.405894477030378,4.397695181677097,0.46769543712105055,3.5495365415616362,5.380545953776733,6.253495540932451,0.6698871060481437,5.04147497334688,7.663804020848902,0.9999985601593556,0.07633623863237173,0.8533365529092524,1.1522365041300913
45,1,10000000,5.108601908044386,0.6019093263019735,4.061859595462488,6.419754583771522,4.415553769701895,0.4667273234710763,3.5697306144873746,5.397254796369749,6.278450817925207,0.668495719093085,5.069649631612119,7.687668344769853,1.000007384134729,0.07547209302609843,0.8548605548040699,1.1506131421994747
